Университет; Город; Сочинение; ГТО; Медаль; СПО; Портфолио; Волонтёрство
Московский государственный университет имени М.В. Ломоносова; Москва; 2; 2; 6; 6; 0; 0
Московский физико-технический институт; Москва; 0; 2; 2; 2; 10; 0
Санкт-Петербургский государственный университет; Санкт-Петербург; 0; 2; 3; 3; 5; 0
Национальный исследовательский ядерный университет «МИФИ»;  Москва; 2; 4; 5; 3; 10; 4
Московский государственный технический университет имени Н.Э. Баумана; Москва; 0; 5; 10; 10; 10; 4
Национальный исследовательский университет "Высшая школа экономики"; Москва; 0; 2; 3; 3; 10; 0
МГИМО МИД России; Москва; 0; 2; 4; 4; 10; 0
Санкт-Петербургский политехнический университет Петра Великого; Санкт-Петербург; 0; 5; 10; 10; 10; 0
Национальный исследовательский Томский политехнический университет; Томск; 0; 4; 10; 10; 10; 4
Уральский федеральный университет имени первого Президента России Б.Н. Ельцина; Екатеринбург; 0; 2; 5; 5; 6; 1
Новосибирский национальный исследовательский государственный университет; Новосибирск; 0; 2; 3; 3; 10; 0
Финансовый университет при Правительстве РФ; Москва; 0; 3; 5; 5; 5; 0
Российская академия народного хозяйства и государственной службы при Президенте РФ; Москва; 0; 3; 5; 5; 7; 0
Университет ИТМО; Санкт-Петербург; 1; 2; 3; 3; 7; 1
Российский экономический университет имени Г.В. Плеханова; Москва; 0; 2; 5; 5; 5; 2
Первый Московский государственный медицинский университет имени И.М. Сеченова Минздрава России; Москва; 0; 0; 5; 5; 10; 0
Университет МИСИС; Москва; 0; 2; 5; 5; 5; 1
Национальный исследовательский Томский государственный университет; Томск; 0; 4; 5; 5; 10; 6
Российский университет дружбы народов имени Патриса Лумумбы; Москва; 0; 3; 10; 10; 5; 3
Казанский (Приволжский) федеральный университет; Казань; 0; 4; 10; 10; 10; 4
